ElementID,Type,STRIDE,Description,AttackScenario,Likelihood,Impact,Priority,Mitigation
P1,Process,T,API Gateway request smuggling,"Attacker crafts ambiguous HTTP requests to bypass Kong/Zuul gateway routing rules and reach internal microservices directly, potentially accessing admin-only endpoints.",Medium,High,High,"Normalize and validate HTTP requests at gateway, disable HTTP/1.0, enforce strict parsing, and run regular smuggling tests."
P2,Process,S,OTP brute-force on Flipkart login,Flipkart uses OTP-based mobile login. Attacker automates rapid OTP guesses (4-6 digit) against /api/auth/verify-otp to take over accounts without knowing the password.,High,High,High,"Rate-limit OTP attempts per phone number, enforce exponential backoff, use CAPTCHA after failed attempts, and expire OTPs within 60 seconds."
P2,Process,S,Credential stuffing on email/password login,Attacker uses leaked credential databases to automate login attempts against Flipkart accounts that still use email/password.,High,High,High,"Breached-password detection, adaptive MFA, device fingerprinting, and account lockout after repeated failures."
P5,Process,T,Price/coupon tampering during checkout,"Attacker intercepts Flipkart checkout API calls and modifies cart total, discount amount, or coupon code in the request body to pay less than the actual price.",Medium,High,High,"Server-side price recalculation from catalog DB, signed cart tokens, coupon validation on backend, and re-verify totals before payment."
P6,Process,E,IDOR on order details and address endpoints,"Authenticated customer changes orderId or addressId in /api/orders/{id} or /api/address/{id} to view or modify another user's order details, delivery address, or phone number.",High,High,High,Enforce object-level authorization: verify that the requesting user owns the resource on every API call. Use UUIDs instead of sequential IDs.
E2,External Entity,S,Fake seller registration and listing fraud,"Attacker registers as a seller with stolen GST/PAN details, lists counterfeit or non-existent products at attractive prices, collects payments, and never ships goods.",Medium,High,High,"KYC verification (video, bank account, GST validation), seller escrow with delayed payouts, and automated fraud scoring."
F4,Data Flow,S,Razorpay/PayU webhook spoofing,Attacker forges a payment success webhook to /api/payment/callback causing Flipkart to mark an unpaid order as paid and ship the product.,Medium,High,High,"Verify webhook HMAC signatures using shared secret, validate payment amount matches order total, and perform server-to-server verification with Razorpay Orders API."
D1,Data Store,I,"Mass user PII exposure (phone, Aadhaar, address)","Database breach or misconfigured backup exposes 400M+ user records including phone numbers, delivery addresses, and saved payment methods to attackers.",Medium,High,High,"Encrypt sensitive columns (AES-256), use envelope encryption with AWS KMS, restrict DB access via IAM, encrypt backups, and implement data masking for non-production environments."
P3,Process,T,SQL injection on product search/filter,"Attacker injects SQL via search query, price range filter, or sort parameter on /api/products/search to extract product catalog data, seller information, or pricing strategies.",Medium,High,High,"Use parameterized queries for MySQL, validate Elasticsearch query DSL, sanitize all filter inputs, and use ORM (Hibernate) consistently."
P5,Process,D,Flash sale DDoS (Big Billion Days),"During Flipkart Big Billion Days sale, attackers or scalper bots flood the cart/checkout APIs with millions of requests to exhaust inventory holds and crash the checkout pipeline.",High,High,High,"CDN-level DDoS protection (Akamai), rate limiting per user/IP, queue-based checkout (virtual waiting room), bot detection via device fingerprinting, and auto-scaling cart microservice."
P3,Process,T,Stored XSS in product reviews and Q&A,"Attacker posts a product review or Q&A answer containing JavaScript that executes in other customers' browsers, stealing session tokens or redirecting to phishing pages.",Medium,Medium,Medium,"Server-side HTML sanitization (OWASP Java HTML Sanitizer), output encoding, strict CSP headers, and review moderation pipeline."
D4,Data Store,I,Payment card data exposure (PCI DSS violation),"Saved card details (CVV, full PAN) stored in plaintext in payment ledger or application logs, leading to mass card fraud if breached.",Low,High,High,"Tokenize card data via Razorpay vault, never store CVV, truncate PAN to last 4 digits, achieve PCI DSS Level 1 compliance, and scan logs for accidental card data leakage."
E3,External Entity,S,Admin account phishing and session hijack,"Attacker sends targeted phishing email to Flipkart admin, stealing credentials or admin session cookie to access seller payout controls, catalog management, and user data.",Medium,High,High,"Hardware security keys (FIDO2) for admin login, admin-only VPN, session binding to IP/device, privileged access management (PAM), and just-in-time access elevation."
P4,Process,T,Seller inventory and price manipulation,Compromised seller account or API key is used to bulk-update product prices to 1 INR or inflate stock counts to win Buy Box placement unfairly.,Medium,Medium,Medium,"Anomaly detection on price/stock changes (>50% deviation triggers review), seller API rate limits, and mandatory 2FA for bulk updates."
P6,Process,R,Delivery dispute: customer denies receipt,"Customer claims product was not delivered despite successful handoff. Without signed proof of delivery, Flipkart must refund and absorb the loss.",Medium,Medium,Medium,"OTP-verified delivery, photo proof of delivery via Ekart app, GPS-stamped delivery events, and centralized dispute audit trail."
D6,Data Store,R,Audit log tampering or deletion,Insider or attacker with DB access deletes or modifies audit logs to cover tracks after unauthorized data access or fraudulent refund processing.,Low,Medium,Medium,"Write-once append-only log storage, ship logs to centralized SIEM (Splunk/ELK) in real-time, cryptographic log integrity (hash chains), and separate log-admin role."
F1,Data Flow,I,Session token leakage from mobile app,Flipkart Android/iOS app stores JWT or session token in SharedPreferences/NSUserDefaults without encryption. Malware or rooted device extracts tokens for account takeover.,Medium,High,High,"Store tokens in Android Keystore / iOS Keychain, use certificate pinning, detect rooted/jailbroken devices, and bind tokens to device fingerprint."
P5,Process,T,Cart bombing / inventory hold abuse,"Attacker adds limited-stock flash sale items to thousands of carts via automated scripts, holding inventory without purchasing to deny legitimate buyers access.",Medium,Medium,Medium,"Short cart reservation timeouts (5 min for flash sales), per-user quantity limits, bot detection (CAPTCHA on add-to-cart during sales), and inventory release on timeout."
P1,Process,S,Mobile app API key extraction,"Attacker reverse-engineers Flipkart APK to extract API keys, client secrets, or hardcoded credentials used for internal service authentication.",Medium,Medium,Medium,"Use OAuth2 device flow instead of embedded secrets, obfuscate APK (ProGuard/R8), rotate API keys frequently, and monitor for anomalous API key usage patterns."
P7,Process,R,Refund fraud with insufficient evidence,"Customer or seller disputes a transaction. Without signed receipts, delivery proof, or immutable payment logs, Flipkart cannot prove the transaction occurred, leading to chargebacks.",Medium,Medium,Medium,"Store signed payment receipts, maintain immutable transaction ledger, integrate Razorpay dispute evidence API, and implement automated chargeback response."
